123	The cat sat on the mat.	456	Кот сидел на коврике.
789	The warehouse is big.	101	Склад большой.
111	I don't know.	222	Я не знаю.
333	The cat is sleeping.	444	Кот спит.
555	A big cat appeared.	666	Появился большой кот.
777	The cat ran quickly across the entire neighborhood looking for food.	888	Кот быстро бежал через весь район в поисках еды.
999	My cat likes fish.	100	Мой кот любит рыбу.
200	That cat is old.	201	Тот кот старый.
202	The old cat sleeps.	203	Старый кот спит.
300	This is a house.	301	Это дом.
400	malformed line missing fields
500	I can't believe it.	600	Я не могу в это поверить.
700	She said hello.	701	Она сказала привет.
900	The cat walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and walked and finally stopped.	901	Кот шёл и шёл и наконец остановился.
