word,exclusion_category
aaahhh,SOUND_EFFECT
aahh,SOUND_EFFECT
adam,PROPER_NOUN
adios,FOREIGN
adottar,FOREIGN
amigas,FOREIGN
amigo,FOREIGN
andorian,MADE_UP
andrea,CHARACTER_NAME
antonio,PROPER_NOUN
appointement,TYPO
auf,FOREIGN
avvilito,FOREIGN
ayuda,FOREIGN
belize,PROPER_NOUN
bianchi,PROPER_NOUN
bien,FOREIGN
bonnie,PROPER_NOUN
brandon,CHARACTER_NAME
braniac,TYPO
bueno,FOREIGN
buyin,DIALECTAL
bwaaa,SOUND_EFFECT
cadere,FOREIGN
caliente,FOREIGN
calma,FOREIGN
cankenstein,MADE_UP
cantar,FOREIGN
canzon,FOREIGN
capelli,FOREIGN
carmen,CHARACTER_NAME
casa,FOREIGN
casita,FOREIGN
chad,PROPER_NOUN
che,FOREIGN
cinnabon,BRAND
ciocche,FOREIGN
clo,TRUNCATED
clovis,CHARACTER_NAME
cojones,FOREIGN
cole,PROPER_NOUN
colores,FOREIGN
com,TRUNCATED
comens,TRUNCATED
comin,DIALECTAL
complaing,TYPO
conmigo,FOREIGN
contar,FOREIGN
cosa,FOREIGN
costco,BRAND
craigslist,BRAND
custer,PROPER_NOUN
dan,PROPER_NOUN
darlin,DIALECTAL
delores,CHARACTER_NAME
deluso,FOREIGN
diggin,DIALECTAL
dinero,FOREIGN
disperare,FOREIGN
dobkins,PROPER_NOUN
doin,DIALECTAL
dos,FOREIGN
dy,TRUNCATED
el,FOREIGN
elliot,CHARACTER_NAME
elliott,CHARACTER_NAME
emilio,CHARACTER_NAME
en,FOREIGN
enrique,CHARACTER_NAME
ese,FOREIGN
esman,TRUNCATED
etewa,TRUNCATED
ewelry,TRUNCATED
farley,PROPER_NOUN
feliz,FOREIGN
flynn,CHARACTER_NAME
forniture,TYPO
fradei,FOREIGN
funyuns,BRAND
genny,CHARACTER_NAME
geste,FOREIGN
gettin,DIALECTAL
gon,DIALECTAL
gor,TRUNCATED
gracias,FOREIGN
gu,TRUNCATED
gus,PROPER_NOUN
gustavo,CHARACTER_NAME
habla,FOREIGN
hablando,FOREIGN
haciendo,FOREIGN
hank,PROPER_NOUN
hasta,FOREIGN
hearin,DIALECTAL
hector,PROPER_NOUN
heisenberg,CHARACTER_NAME
hiyah,SOUND_EFFECT
holdin,DIALECTAL
homer,PROPER_NOUN
horas,FOREIGN
huell,CHARACTER_NAME
huevos,FOREIGN
hy,TRUNCATED
iguales,FOREIGN
infelice,FOREIGN
inte,TRUNCATED
iocal,TYPO
jacocks,MADE_UP
jefe,FOREIGN
jefferson,PROPER_NOUN
jerry,PROPER_NOUN
jesse,CHARACTER_NAME
jesus,PROPER_NOUN
juliet,PROPER_NOUN
keepball,MADE_UP
kirk,PROPER_NOUN
kleenex,BRAND
la,FOREIGN
learnin,DIALECTAL
lego,BRAND
lik,TRUNCATED
limpio,FOREIGN
livin,DIALECTAL
lll,TRUNCATED
lo,FOREIGN
lookin,DIALECTAL
los,FOREIGN
luego,FOREIGN
mak,TRUNCATED
mamitas,FOREIGN
mariano,CHARACTER_NAME
marie,CHARACTER_NAME
marron,FOREIGN
mel,PROPER_NOUN
messag,TRUNCATED
mi,FOREIGN
michoacan,PROPER_NOUN
mike,PROPER_NOUN
mistak,TRUNCATED
mmmh,SOUND_EFFECT
moses,PROPER_NOUN
movin,DIALECTAL
muchas,FOREIGN
muerto,FOREIGN
muy,FOREIGN
mwah,SOUND_EFFECT
myshout,TRUNCATED
nada,FOREIGN
narrare,FOREIGN
ne,FOREIGN
necesita,FOREIGN
necesito,FOREIGN
neigorhood,TYPO
nixon,PROPER_NOUN
noches,FOREIGN
nofederales,MADE_UP
noi,FOREIGN
nothin,DIALECTAL
ntion,TRUNCATED
ol'raging,TRUNCATED
ontario,PROPER_NOUN
opie,PROPER_NOUN
oscar,PROPER_NOUN
ourite,TRUNCATED
paila,FOREIGN
papadoumian,MADE_UP
parte,FOREIGN
pe,TRUNCATED
pelato,FOREIGN
pendejo,FOREIGN
perfecto,FOREIGN
pete,PROPER_NOUN
philly,PROPER_NOUN
photoshop,BRAND
pinkman,CHARACTER_NAME
pleasee,TYPO
podemos,FOREIGN
pokin,DIALECTAL
por,FOREIGN
povero,FOREIGN
pronto,FOREIGN
prova,FOREIGN
quali,TRUNCATED
quanties,TYPO
questa,FOREIGN
ratasnitch,MADE_UP
remaing,TYPO
rember,TYPO
residar,FOREIGN
responsability,TYPO
responsabilty,TYPO
responsibil,TRUNCATED
ri,TRUNCATED
ricky,PROPER_NOUN
rippin,DIALECTAL
roger,PROPER_NOUN
rt,TRUNCATED
runnin,DIALECTAL
sangre,FOREIGN
saul,CHARACTER_NAME
saxitotoxin,TYPO
schrader,CHARACTER_NAME
schwartz,PROPER_NOUN
scotty,PROPER_NOUN
se,FOREIGN
sebenti,TRUNCATED
sens,TRUNCATED
shitin,DIALECTAL
shittin,DIALECTAL
siento,FOREIGN
skyler,CHARACTER_NAME
sl,TRUNCATED
sospect,TYPO
specificly,TYPO
spok,TRUNCATED
stan,PROPER_NOUN
starbucks,BRAND
steve,PROPER_NOUN
storia,FOREIGN
stucknut,MADE_UP
suerte,FOREIGN
swsub,TRUNCATED
tal,FOREIGN
talkin,DIALECTAL
tanto,FOREIGN
te,FOREIGN
telenovels,TYPO
tenerife,PROPER_NOUN
terriblys,TYPO
th,TRUNCATED
thinkin,DIALECTAL
timbuktu,PROPER_NOUN
tio,FOREIGN
todd,CHARACTER_NAME
