1001	This house is very old.	2001	Этот дом очень старый.
1002	I bought a new house last year.	2002	Я купил новый дом в прошлом году.
1003	The house was painted white.	2003	Дом был покрашен в белый цвет.
1004	She lives in a big house.	2004	Она живёт в большом доме.
1005	Can I have a glass of water?	2005	Можно мне стакан воды?
1006	The water in this lake is clean.	2006	Вода в этом озере чистая.
1007	Water is essential for life.	2007	Вода необходима для жизни.
1008	Time flies when you are having fun.	2008	Время летит, когда тебе весело.
1009	What time is it now?	2009	Который сейчас час?
1010	I don't have time for that.	2010	У меня нет на это времени.
1011	She can run very fast.	2011	Она может бегать очень быстро.
1012	I run every morning before work.	2012	Я бегаю каждое утро перед работой.
1013	This is a good book to read.	2013	Это хорошая книга для чтения.
1014	He is a good person.	2014	Он хороший человек.
1015	That is a big problem.	2015	Это большая проблема.
1016	The big dog chased the cat.	2016	Большая собака погналась за кошкой.
1017	I like to walk in the park.	2017	Я люблю гулять в парке.
1018	Let's eat something.	2018	Давайте что-нибудь поедим.
1019	I read a book every week.	2019	Я читаю книгу каждую неделю.
1020	The light in the room was dim.	2020	Свет в комнате был тусклым.
1021	It was a dark and stormy night.	2021	Была тёмная и бурная ночь.
1022	The train was very fast.	2022	Поезд был очень быстрым.
1023	The slow turtle won the race.	2023	Медленная черепаха выиграла гонку.
1024	The warehouse stores many goods from different countries.	2024	На складе хранится много товаров из разных стран.
1025	They built a new warehouse near the river.	2025	Они построили новый склад у реки.
1026	We need a small box for this.	2026	Нам нужна маленькая коробка для этого.
1027	The house on the corner is for sale.	2027	Дом на углу продаётся.
1028	She gave me a good piece of advice about managing my time effectively so that I could run my small business from my house without feeling overwhelmed by the big challenges that come with being an entrepreneur in today's fast-paced world where water and other natural resources are becoming increasingly scarce and the light of hope sometimes grows dim in the dark of uncertainty but we must remain strong and walk forward with determination eating healthy food and reading good books while making time for both work and rest because life is too short and too precious to waste on things that don't matter and every small step we take brings us closer to our goals even when the path seems impossibly long and winding through the warehouse of our accumulated experiences and memories.	2028	Она дала мне хороший совет о том, как эффективно управлять своим временем, чтобы я мог вести свой маленький бизнес из дома, не чувствуя себя подавленным большими проблемами.
1029	I can see the house from here.	2029	Я вижу дом отсюда.
1030	Good water is hard to find.	2030	Хорошую воду трудно найти.
